system:index,average_surface_temp,date,satellite,.geo
1_1_1_1_LT04_018031_19821209,276.0478034,1982-12-09,LANDSAT_4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_019031_19830117,262.03733941999985,1983-01-17,LANDSAT_4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840327,255.46106894000002,1984-03-27,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840410,274.19181854,1984-04-10,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840512,278.48143364,1984-05-12,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840613,239.4929159250694,1984-06-13,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840629,290.9332805,1984-06-29,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840715,150.00147986,1984-07-15,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840731,291.5143439,1984-07-31,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840901,242.6024777,1984-09-01,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19840917,291.86981798,1984-09-17,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19841003,289.1730002,1984-10-03,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19841019,244.5725122514328,1984-10-19,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19841120,266.45683928,1984-11-20,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19850208,261.11447402,1985-02-08,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19850413,254.616818,1985-04-13,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19850429,274.83782432,1985-04-29,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
